slot,average_delay,average_energy,total_delay,total_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
120,140.635106,0.027665,2109.526584,0.414973,0.368793,3.978241,9,9,1,1,0
121,230.302059,0.010792,3915.135003,0.183457,0.316691,3.936293,6,6,1,1,0
122,262.80124,0.034658,4204.81984,0.554524,0.372246,3.051919,9,8,1,1,0
123,291.768988,0.033234,4960.072797,0.564974,0.430361,4.423769,8,8,1,1,0
124,218.929089,0.03863,3502.865421,0.618086,0.369634,3.500729,10,9,1,1,0
125,337.893493,0.042579,6082.082865,0.766426,0.506702,5.514469,10,10,1,1,0
126,165.237584,0.038024,2809.038927,0.6464,0.652748,6.141696,10,10,1,1,0
127,184.619711,0.026775,2584.675959,0.374851,0.275083,3.083167,9,9,1,1,0
128,190.670675,0.038956,2478.718769,0.50643,0.381225,2.899606,10,10,1,1,0
129,170.739183,0.029804,2390.348567,0.417252,0.406013,2.288399,9,9,1,1,0
130,171.863071,0.029081,2577.946066,0.436218,0.447048,3.316039,9,9,1,1,0
131,155.030746,0.038012,2325.461187,0.570177,0.388755,3.321459,10,10,1,1,0
132,154.664722,0.017591,2319.970828,0.263862,0.357595,3.139204,7,7,1,1,0
133,181.842181,0.024419,2727.632722,0.366291,0.315063,3.624373,7,7,1,1,0
134,211.679053,0.03519,2540.148633,0.422285,0.294348,2.980388,10,10,1,1,0
135,158.026639,0.038515,2370.399585,0.57772,0.38502,4.032136,9,9,1,1,0
136,127.738671,0.018916,1788.341391,0.26483,0.303493,4.024071,8,8,1,1,0
137,135.651829,0.016632,1627.82195,0.199589,0.235095,3.027286,8,8,1,1,0
138,183.156287,0.024306,3479.969453,0.461821,0.397985,4.535698,8,8,1,1,0
139,189.669528,0.03795,3224.381971,0.645148,0.377116,4.454758,10,10,1,1,0
140,190.152017,0.030691,3612.888332,0.58313,0.560637,6.221926,9,9,1,1,0
141,155.412623,0.017867,2486.601968,0.285875,0.362944,4.177858,8,8,1,1,0
142,267.948985,0.066095,4823.081736,1.189702,0.484484,4.399478,9,9,1,1,0
143,164.239942,0.024988,2956.318957,0.449792,0.4199,4.212451,8,8,1,1,0
144,343.310926,0.018429,6522.907586,0.350144,0.417105,4.840605,7,7,1,1,0
145,255.368387,0.038285,3830.525804,0.574273,0.290947,3.461612,10,10,1,1,0
146,173.653238,0.036644,3299.411526,0.696242,0.572283,6.663385,10,10,1,1,0
147,135.451767,0.037874,2302.680045,0.643853,0.5227,5.350944,10,10,1,1,0
148,154.563874,0.025563,2163.894233,0.357882,0.391554,2.601588,9,9,1,1,0
149,163.687493,0.038027,2618.999886,0.608433,0.457623,4.089121,10,10,1,1,0
150,187.876029,0.039772,2630.264408,0.556809,0.388021,3.42962,10,10,1,1,0
151,221.032703,0.024929,2873.425135,0.324082,0.289698,3.346692,9,9,1,1,0
152,238.234267,0.036599,4288.216808,0.658786,0.532439,5.089436,10,10,1,1,0
153,134.949079,0.030553,2294.13435,0.5194,0.584411,4.993165,9,9,1,1,0
154,177.581618,0.019104,3018.887503,0.324764,0.400301,4.331337,8,8,1,1,0
155,174.808183,0.02773,2796.930931,0.443678,0.3484,3.659282,8,8,1,1,0
156,140.137946,0.028883,1961.931246,0.404361,0.318326,4.381569,9,9,1,1,0
157,132.665329,0.026811,2387.975925,0.482597,0.483073,5.401877,8,8,1,1,0
158,169.390159,0.024117,3049.022859,0.434097,0.323033,4.661878,7,6,1,1,0
159,138.966144,0.019032,2362.424454,0.323537,0.402207,5.254339,6,6,1,1,0
160,114.236284,0.023646,1827.780548,0.378342,0.394302,4.291781,8,7,1,1,0
161,215.677461,0.017775,3450.839383,0.284404,0.320749,3.832962,7,6,1,1,0
162,405.314274,0.03129,6890.342656,0.531929,0.160193,2.515405,8,7,1,1,0
163,132.837006,0.027611,2125.392094,0.441772,0.453312,6.575154,8,8,1,1,0
164,175.244158,0.03581,2979.150683,0.608767,0.299319,3.05021,10,8,1,1,0
165,132.191377,0.034868,1850.679284,0.488146,0.318336,3.444587,10,10,1,1,0
166,149.4571,0.029564,2690.227808,0.53215,0.436134,4.409714,9,9,1,1,0
167,250.452484,0.028218,4257.692235,0.479712,0.384316,3.215324,8,7,1,1,0
168,195.524157,0.027686,3323.910674,0.470656,0.366916,3.631643,8,8,1,1,0
169,147.118727,0.02299,2059.662182,0.321866,0.303316,4.45755,8,8,1,1,0
170,219.679258,0.019726,3734.547385,0.335346,0.34267,4.162879,8,8,1,1,0
171,170.275416,0.037387,3064.957494,0.672969,0.391977,4.633968,10,10,1,1,0
172,170.662276,0.036797,2730.596424,0.588746,0.343804,3.685336,10,10,1,1,0
173,139.619357,0.034077,2094.290354,0.511153,0.384012,3.908454,9,9,1,1,0
174,123.318455,0.014135,1849.776828,0.212024,0.351857,4.556111,6,6,1,1,0
175,141.079977,0.027095,2257.279625,0.433524,0.356301,4.682549,8,8,1,1,0
176,181.083749,0.017241,3078.423732,0.293105,0.440569,4.067252,7,6,1,1,0
177,214.914149,0.032932,4083.368836,0.625717,0.453224,5.059004,9,8,1,1,0
178,178.76363,0.0273,2860.218083,0.436793,0.297858,3.594597,9,9,1,1,0
179,127.41393,0.034735,2166.036811,0.590499,0.442677,5.420139,9,9,1,1,0
180,171.596718,0.006598,2402.354058,0.092372,0.235487,3.295291,7,7,1,1,0
181,133.948802,0.023656,1741.334431,0.307525,0.23347,3.548227,9,9,1,1,0
182,237.408716,0.018383,4273.356884,0.330894,0.384138,4.232353,7,7,1,1,0
183,137.081381,0.028874,1919.139337,0.404232,0.316179,4.410094,9,9,1,1,0
184,142.259051,0.034033,2133.885766,0.51049,0.370633,3.977144,9,9,1,1,0
185,107.222141,0.018043,1072.221415,0.180433,0.19948,2.232009,8,8,1,1,0
186,156.285709,0.030879,2344.285637,0.463183,0.271372,3.260907,8,8,1,1,0
187,212.50374,0.027401,3612.563586,0.465814,0.381537,4.180204,9,9,1,1,0
188,164.452009,0.020171,2631.232148,0.322731,0.387139,3.898656,8,8,1,1,0
189,127.844087,0.019599,2429.037651,0.372389,0.543907,6.242086,7,7,1,1,0
190,277.982509,0.032036,4447.720139,0.512583,0.37989,3.253007,9,8,1,1,0
191,152.328102,0.02633,2589.577731,0.447602,0.370667,4.046976,8,7,1,1,0
192,164.734457,0.026772,2800.485776,0.45512,0.32384,4.206196,8,8,1,1,0
193,124.635649,0.02624,1869.534741,0.393607,0.320246,3.336072,9,9,1,1,0
194,139.093309,0.020228,2086.399628,0.303421,0.36582,4.178844,8,8,1,1,0
195,139.197619,0.024556,1670.371423,0.294675,0.199835,2.711702,7,7,1,1,0
196,140.577704,0.032731,2389.820976,0.556419,0.366819,5.202273,9,9,1,1,0
197,139.06976,0.024686,1946.976635,0.345606,0.268704,3.578079,8,8,1,1,0
198,233.631436,0.034795,3971.734411,0.591523,0.325249,3.982552,10,10,1,1,0
199,132.091519,0.027237,1981.372788,0.408549,0.355006,3.997795,8,8,1,1,0
200,132.5276,0.026999,2252.969207,0.458978,0.364445,5.081487,8,8,1,1,0
201,141.861703,0.025804,1986.063839,0.361255,0.33284,3.864244,8,8,1,1,0
202,167.717309,0.032885,3186.628867,0.624806,0.34863,3.944474,9,7,1,1,0
