method,seed_index,slot,average_delay,cumulative_average_delay,average_fidelity,solver_time,throughput,sync_triggers
proposed,1,23,139.653386,193.861727,0.723305,0.000188,17.0,8.0
proposed,1,24,170.811574,192.901304,0.733786,0.000186,18.0,6.0
proposed,1,25,158.257383,191.515548,0.694936,0.000143,16.0,7.0
proposed,1,26,155.858246,190.144113,0.720438,9.9e-05,15.0,9.0
proposed,1,27,147.926521,188.580498,0.710765,0.000221,17.0,6.0
proposed,1,28,130.802812,186.51701,0.689753,0.000142,17.0,6.0
proposed,1,29,240.926513,188.393199,0.676567,8.9e-05,15.0,6.0
proposed,1,30,211.494938,189.163257,0.685167,0.00018,17.0,10.0
proposed,1,31,159.870013,188.218314,0.690423,0.00011,16.0,6.0
proposed,1,32,181.605463,188.011662,0.686237,9.6e-05,14.0,6.0
proposed,1,33,111.813309,185.702621,0.705765,7.5e-05,14.0,7.0
proposed,1,34,141.637207,184.40658,0.749281,0.000121,17.0,8.0
proposed,1,35,131.019112,182.881224,0.726616,0.00023,18.0,7.0
proposed,1,36,95.06027,180.441753,0.687477,0.000109,10.0,6.0
proposed,1,37,268.924831,182.833187,0.726695,0.000196,19.0,7.0
proposed,1,38,195.739348,183.172823,0.725262,9e-05,16.0,7.0
proposed,1,39,196.953635,183.526177,0.726208,0.000142,18.0,8.0
proposed,1,40,122.285275,181.995155,0.694123,0.000165,17.0,7.0
proposed,2,1,232.959612,232.959612,0.577851,0.000342,19.0,6.0
proposed,2,2,107.504027,170.23182,0.614719,3.5e-05,10.0,10.0
proposed,2,3,219.152399,186.53868,0.686604,0.000328,18.0,7.0
proposed,2,4,141.30607,175.230527,0.673989,0.000126,16.0,8.0
proposed,2,5,184.649178,177.114257,0.690674,0.000149,15.0,8.0
proposed,2,6,157.073762,173.774175,0.724385,8.1e-05,13.0,9.0
proposed,2,7,161.469587,172.016376,0.717147,9.6e-05,15.0,8.0
proposed,2,8,231.504471,179.452388,0.694459,0.000161,16.0,7.0
proposed,2,9,437.90835,208.169717,0.658414,0.000345,17.0,8.0
proposed,2,10,195.803617,206.933107,0.667461,0.000161,17.0,9.0
proposed,2,11,174.793005,204.01128,0.691103,0.00015,15.0,9.0
proposed,2,12,249.924868,207.837412,0.69748,9.9e-05,16.0,9.0
proposed,2,13,163.706404,204.442719,0.681475,0.000244,18.0,9.0
proposed,2,14,149.516941,200.519449,0.695435,0.000215,17.0,8.0
proposed,2,15,132.816882,196.005945,0.675866,7.6e-05,14.0,6.0
proposed,2,16,184.002911,195.255755,0.672668,0.000128,14.0,9.0
proposed,2,17,215.723832,196.45976,0.699558,0.000264,15.0,8.0
proposed,2,18,132.842679,192.925478,0.654648,0.000271,14.0,7.0
proposed,2,19,173.262246,191.890571,0.656714,0.000699,16.0,8.0
proposed,2,20,137.509574,189.171521,0.710635,0.000151,16.0,8.0
proposed,2,21,176.580719,188.571959,0.687911,0.000666,18.0,7.0
proposed,2,22,153.199155,186.964104,0.676385,5.2e-05,13.0,8.0
proposed,2,23,227.764116,188.738018,0.677525,0.000162,17.0,7.0
proposed,2,24,252.694406,191.402867,0.694007,8e-05,15.0,8.0
proposed,2,25,538.042183,205.26844,0.661327,0.000309,17.0,8.0
proposed,2,26,136.284834,202.615224,0.685525,0.000681,19.0,10.0
proposed,2,27,152.081797,200.743616,0.687923,0.000307,17.0,6.0
proposed,2,28,264.738283,203.02914,0.655155,0.000293,15.0,6.0
proposed,2,29,147.18645,201.10353,0.671767,0.000187,18.0,9.0
proposed,2,30,158.227193,199.674318,0.710605,0.000655,16.0,9.0
proposed,2,31,250.437994,201.311856,0.690616,0.000294,17.0,8.0
proposed,2,32,200.766282,201.294807,0.664367,0.00176,18.0,8.0
proposed,2,33,147.260702,199.65741,0.687069,0.000674,18.0,8.0
proposed,2,34,128.221003,197.556339,0.693193,8.2e-05,12.0,7.0
proposed,2,35,234.671874,198.616783,0.698403,0.001723,16.0,8.0
proposed,2,36,131.350478,196.748275,0.689912,0.000132,14.0,9.0
proposed,2,37,213.911588,197.212148,0.693814,0.000172,14.0,7.0
proposed,2,38,132.428723,195.507321,0.650902,0.000649,12.0,9.0
proposed,2,39,120.269057,193.578135,0.693558,0.000781,17.0,8.0
proposed,2,40,207.477861,193.925628,0.70886,0.000664,17.0,7.0
baseline,0,1,161.21944,161.21944,0.618854,0.0,14.0,5.0
baseline,0,2,228.227372,194.723406,0.631921,0.0,14.0,9.0
baseline,0,3,199.017071,196.154628,0.668443,0.0,15.0,10.0
baseline,0,4,223.572588,203.009118,0.679672,0.0,16.0,9.0
baseline,0,5,235.533168,209.513928,0.687402,0.0,14.0,10.0
baseline,0,6,209.928112,209.582958,0.716402,0.0,16.0,10.0
baseline,0,7,199.837227,208.190711,0.693575,0.0,14.0,10.0
baseline,0,8,212.328891,208.707984,0.707583,0.0,16.0,10.0
baseline,0,9,211.47503,209.015433,0.683181,0.0,15.0,10.0
baseline,0,10,260.641835,214.178073,0.686098,0.0,15.0,10.0
baseline,0,11,284.201697,220.543857,0.697815,0.0,15.0,10.0
baseline,0,12,307.556261,227.794891,0.673763,0.0,15.0,10.0
baseline,0,13,278.226059,231.674211,0.699902,0.0,18.0,10.0
baseline,0,14,220.400039,230.868913,0.692292,0.0,13.0,10.0
baseline,0,15,192.379564,228.302957,0.691398,0.0,16.0,10.0
baseline,0,16,203.886677,226.776939,0.662438,0.0,13.0,10.0
baseline,0,17,184.975366,224.318023,0.667129,0.0,14.0,10.0
baseline,0,18,233.306405,224.817378,0.679749,0.0,13.0,10.0
baseline,0,19,190.583121,223.015575,0.699925,0.0,16.0,10.0
baseline,0,20,155.094438,219.619518,0.674525,0.0,11.0,10.0
baseline,0,21,260.371434,221.560085,0.696568,0.0,16.0,10.0
baseline,0,22,265.615146,223.562588,0.678152,0.0,15.0,10.0
baseline,0,23,239.503632,224.255677,0.676901,0.0,16.0,10.0
baseline,0,24,159.806675,221.570302,0.684236,0.0,13.0,10.0
baseline,0,25,228.396069,221.843333,0.675782,0.0,14.0,10.0
baseline,0,26,198.437536,220.94311,0.693096,0.0,13.0,10.0
baseline,0,27,263.690758,222.526356,0.667411,0.0,14.0,10.0
baseline,0,28,202.9552,221.827386,0.667467,0.0,16.0,10.0
baseline,0,29,201.930692,221.141293,0.677818,0.0,16.0,10.0
baseline,0,30,297.785762,223.696109,0.687994,0.0,15.0,10.0
baseline,0,31,227.721309,223.825954,0.661017,0.0,14.0,10.0
baseline,0,32,188.525392,222.722811,0.687139,0.0,15.0,10.0
baseline,0,33,210.41424,222.349824,0.687266,0.0,12.0,10.0
baseline,0,34,212.688925,222.06568,0.644738,0.0,13.0,10.0
baseline,0,35,173.618805,220.681484,0.704022,0.0,15.0,10.0
baseline,0,36,259.796677,221.768017,0.677791,0.0,14.0,10.0
baseline,0,37,261.66527,222.846321,0.675639,0.0,15.0,10.0
baseline,0,38,210.136734,222.511858,0.670291,0.0,15.0,10.0
baseline,0,39,179.611026,221.411837,0.705775,0.0,15.0,10.0
baseline,0,40,239.849247,221.872772,0.697691,0.0,14.0,10.0
baseline,1,1,193.443447,193.443447,0.683178,0.0,13.0,4.0
baseline,1,2,318.57468,256.009063,0.651736,0.0,13.0,8.0
baseline,1,3,190.068887,234.029005,0.65351,0.0,18.0,10.0
baseline,1,4,196.355517,224.610633,0.68274,0.0,13.0,9.0
baseline,1,5,155.562674,210.801041,0.687929,0.0,15.0,10.0
